User_Index,Interaction,Value,Time,Reward,Action,Attribute,State,High-Level-State,Task
0,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Airport_Name-nominal-y",1606873739344,1.0444444444444445,same,"['Airport_Name', 'None', 'None']","[0, 14, 14]",Foraging,p1
2,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Airport_Name-nominal-y",1606873745867,1.0444444444444445,same,"['Airport_Name', 'None', 'None']","[0, 14, 14]",Foraging,p1
3,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Airport_Name-nominal-y",1606873746892,1.0444444444444445,modify-1,"['Airport_Name', 'None', 'None']","[0, 14, 14]",Foraging,p1
4,main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,Origin_State-nominal-y",1606873756327,0.6,modify-1,"['None', 'None', 'Origin_State']","[14, 14, 5]",Foraging,p1
5,main chart changed because of clicking a field,"mark:point;encoding:-quantitative-size<aggregate>count,Flight_Date-nominal-x,Origin_State-nominal-y",1606873831976,1.5722222222222222,same,"['Flight_Date', 'None', 'Origin_State']","[3, 14, 5]",Foraging,p1
6,mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Flight_Date-nominal-x,Origin_State-nominal-y",1606873834310,1.5722222222222222,same,"['Flight_Date', 'None', 'Origin_State']","[3, 14, 5]",Sensemaking,p1
7,scroll on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Flight_Date-nominal-x,Origin_State-nominal-y",1606873840312,1.5722222222222222,same,"['Flight_Date', 'None', 'Origin_State']","[3, 14, 5]",Sensemaking,p1
32,mouseout on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Flight_Date-nominal-x,Origin_State-nominal-y",1606873841225,1.5722222222222222,same,"['Flight_Date', 'None', 'Origin_State']","[3, 14, 5]",Sensemaking,p1
36,mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Flight_Date-nominal-x,Origin_State-nominal-y",1606873845621,1.5722222222222222,modify-1,"['Flight_Date', 'None', 'Origin_State']","[3, 14, 5]",Sensemaking,p1
40,main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-y<aggregate>count,Flight_Date-nominal-x",1606873846761,1.0722222222222222,same,"['Flight_Date', 'None', 'None']","[3, 14, 14]",Foraging,p1
