User_Index,Interaction,Value,Time,Reward,Action,Attribute,State,High-Level-State,Task
0,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602687998889,0.8777777777777778,same,"['None', 'None', 'Title']","[0, 16, 16]",Foraging,p1
3,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602687999549,0.8777777777777778,modify-1,"['None', 'None', 'Title']","[0, 16, 16]",Foraging,p1
18,mouseover a related chart,mark:tick;encoding:Worldwide_Gross-quantitative-x,1602688003320,0.3777777777777777,modify-1,"['None', 'None', 'Worldwide_Gross']","[2, 16, 16]",Foraging,p1
22,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602688004481,0.8777777777777778,same,"['None', 'None', 'Title']","[0, 16, 16]",Foraging,p1
25,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602688007231,0.8777777777777778,modify-1,"['None', 'None', 'Title']","[0, 16, 16]",Foraging,p1
28,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Distributor-nominal-y",1602688029292,0.5444444444444444,same,"['Distributor', 'None', 'None']","[8, 16, 16]",Foraging,p1
29,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Distributor-nominal-y",1602688031364,0.5444444444444444,modify-1,"['Distributor', 'None', 'None']","[8, 16, 16]",Foraging,p1
30,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602688034235,0.8777777777777778,modify-1,"['None', 'None', 'Title']","[0, 16, 16]",Foraging,p1
34,clicked on a field,add Source,1602688035256,1.0722222222222222,same,"['None', 'None', 'Source']","[9, 16, 16]",Foraging,p1
35,main chart changed because of clicking a field,"mark:bar;encoding:-quantitative-x<aggregate>count,Source-nominal-y",1602688036282,1.0722222222222222,modify-1,"['None', 'None', 'Source']","[9, 16, 16]",Foraging,p1
36,clicked on a field,add Creative_Type,1602688044236,1.1,modify-1,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Foraging,p1
37,main chart changed because of clicking a field,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1602688045684,2.0722222222222224,modify-2,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Foraging,p1
38,scroll on a related chart,"mark:point;encoding:Director-nominal-x,Source-nominal-color,Title-nominal-y",1602688045881,2.322222222222222,modify-2,"['Director', 'Source', 'Title']","[0, 9, 12]",Foraging,p1
39,mouseover a related chart,"mark:point;encoding:Creative_Type-nominal-color,Director-nominal-x,Distributor-nominal-y",1602688054999,2.0166666666666666,same,"['Creative_Type', 'Director', 'Distributor']","[8, 11, 12]",Foraging,p1
40,scroll on a related chart,"mark:point;encoding:Creative_Type-nominal-color,Director-nominal-x,Distributor-nominal-y",1602688055503,2.0166666666666666,same,"['Creative_Type', 'Director', 'Distributor']","[8, 11, 12]",Foraging,p1
71,mouseout a related chart,"mark:point;encoding:Creative_Type-nominal-color,Director-nominal-x,Distributor-nominal-y",1602688056648,2.0166666666666666,same,"['Creative_Type', 'Director', 'Distributor']","[8, 11, 12]",Foraging,p1
79,scroll on a related chart,"mark:point;encoding:Creative_Type-nominal-color,Director-nominal-x,Distributor-nominal-y",1602688057640,2.0166666666666666,same,"['Creative_Type', 'Director', 'Distributor']","[8, 11, 12]",Foraging,p1
93,mouseover a related chart,"mark:point;encoding:Creative_Type-nominal-color,Director-nominal-x,Distributor-nominal-y",1602688058300,2.0166666666666666,same,"['Creative_Type', 'Director', 'Distributor']","[8, 11, 12]",Foraging,p1
100,scroll on a related chart,"mark:point;encoding:Creative_Type-nominal-color,Director-nominal-x,Distributor-nominal-y",1602688059891,2.0166666666666666,same,"['Creative_Type', 'Director', 'Distributor']","[8, 11, 12]",Foraging,p1
110,scroll on a related chart,"mark:point;encoding:Creative_Type-nominal-color,Director-nominal-x,Distributor-nominal-y",1602688061769,2.0166666666666666,same,"['Creative_Type', 'Director', 'Distributor']","[8, 11, 12]",Foraging,p1
113,mouseout a related chart,"mark:point;encoding:Creative_Type-nominal-color,Director-nominal-x,Distributor-nominal-y",1602688062025,2.0166666666666666,modify-2,"['Creative_Type', 'Director', 'Distributor']","[8, 11, 12]",Foraging,p1
114,mouseover on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1602688078658,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking,p1
117,scroll on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1602688078951,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking,p1
135,scroll on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1602688082152,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking,p1
146,scroll on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1602688087621,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking,p1
169,scroll on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1602688089138,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking,p1
187,scroll on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1602688094790,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking,p1
196,scroll on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1602688096024,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking,p1
198,scroll on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1602688100647,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking,p1
213,scroll on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1602688101599,2.0722222222222224,same,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking,p1
221,mouseout on the specified chart,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1602688102618,2.0722222222222224,modify-2,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking,p1
224,mouseover a related chart,"mark:point;encoding:Creative_Type-nominal-color,Director-nominal-x,Distributor-nominal-y",1602688138987,2.0166666666666666,modify-2,"['Creative_Type', 'Director', 'Distributor']","[8, 11, 12]",Foraging,p1
230,added chart to bookmark,"mark:point;encoding:-quantitative-size<aggregate>count,Creative_Type-nominal-x,Source-nominal-y",1602688139761,2.0722222222222224,modify-2,"['Creative_Type', 'None', 'Source']","[9, 11, 16]",Sensemaking,p1
231,mouseover a related chart,"mark:point;encoding:Creative_Type-nominal-color,Director-nominal-x,Distributor-nominal-y",1602688141477,2.0166666666666666,same,"['Creative_Type', 'Director', 'Distributor']","[8, 11, 12]",Foraging,p1
232,mouseout a related chart,"mark:point;encoding:Creative_Type-nominal-color,Director-nominal-x,Distributor-nominal-y",1602688142140,2.0166666666666666,modify-1,"['Creative_Type', 'Director', 'Distributor']","[8, 11, 12]",Foraging,p1
233,mouseover a related chart,"mark:point;encoding:Creative_Type-nominal-color,Distributor-nominal-x,Title-nominal-y",1602688145889,2.3222222222222224,same,"['Creative_Type', 'Distributor', 'Title']","[0, 8, 11]",Foraging,p1
0,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602688782284,0.8777777777777778,same,"['None', 'None', 'Title']","[0, 16, 16]",Foraging,p2
1,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1602688782900,0.8777777777777778,modify-1,"['None', 'None', 'Title']","[0, 16, 16]",Foraging,p2
4,clicked on a field,add Source,1602688784908,1.0722222222222222,same,"['None', 'None', 'Source']","[9, 16, 16]",Foraging,p2
