User_Index,Interaction,Value,Time,Reward,Action,Attribute,State,High-Level-State,Task
0,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1604941865357,0.8777777777777778,same,"['None', 'None', 'Title']","[0, 16, 16]",Foraging,p1
1,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1604941866254,0.8777777777777778,modify-1,"['None', 'None', 'Title']","[0, 16, 16]",Foraging,p1
4,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Distributor-nominal-y",1604941894616,0.5444444444444444,modify-1,"['Distributor', 'None', 'None']","[8, 16, 16]",Foraging,p1
7,scroll on a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Source-nominal-y",1604941899375,1.0722222222222222,same,"['None', 'None', 'Source']","[9, 16, 16]",Foraging,p1
37,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Source-nominal-y",1604941900666,1.0722222222222222,modify-1,"['None', 'None', 'Source']","[9, 16, 16]",Foraging,p1
41,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1604941901640,1.1,same,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Foraging,p1
45,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1604941905578,1.1,modify-1,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Foraging,p1
50,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Major_Genre-nominal-y",1604941906643,0.6555555555555556,modify-1,"['Major_Genre', 'None', 'None']","[10, 16, 16]",Foraging,p1
57,mouseout a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Creative_Type-nominal-y",1604941910727,1.1,modify-1,"['Creative_Type', 'None', 'None']","[11, 16, 16]",Foraging,p1
60,mouseover a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1604941911399,0.8777777777777778,same,"['None', 'None', 'Title']","[0, 16, 16]",Foraging,p1
61,scroll on a related chart,"mark:bar;encoding:-quantitative-x<aggregate>count,Title-nominal-y",1604941911564,0.8777777777777778,same,"['None', 'None', 'Title']","[0, 16, 16]",Foraging,p1
